Input,Target,Vanilla_prediction,Attention_prediction
daanshil,दानशील,दांशील,दानशील
daabholkar,दाभोलकर,दाबोहकल,दाभोलकर
dabholkar,दाभोलकर,दबोहकल,दाभोलकर
ditaa,दिता,दीता,दिता
dinaank,दिनांक,दीनांक,दिनांक
dinank,दिनांक,दीनांक,दिनांक
diwani,दिवानी,दीवानी,दिवानी
divya,दिव्य,दीव्य,दिव्य
deepan,दीपन,दीपान,दीपन
deepn,दीपन,डीपन,दीपन
dukke,दुक्के,डुक्के,दुक्के
dubhashiyon,दुभाषियों,दुभाष्यों,दुभाषियों
durghtna,दुर्घटना,दूर्घना,दुर्घटना
desai,देसाई,डेसाई,देसाई
dvivedi,द्विवेदी,द्विदेीी,द्विवेदी
dwivedi,द्विवेदी,द्विवेदीी,द्विवेदी
dhandhon,धंधों,धनधों,धंधों
dhandhany,धनधान्य,धनंधनीय,धनधान्य
dhandhanya,धनधान्य,धनधनन्य,धनधान्य
dhamkaataa,धमकाता,धमकता,धमकाता
dharmraj,धर्मराज,धर्माराज,धर्मराज
dhaak,धाक,ढाक,धाक
dhaatuein,धातुएं,धातें,धातुएं
dhuni,धूनी,धुनी,धूनी
dhairyavaan,धैर्यवान,धैर्वानान,धैर्यवान
dhairyawan,धैर्यवान,धैर्वानान,धैर्यवान
dhyeyavaadi,ध्येयवादी,ध्यायवादी,ध्येयवादी
dhrupad,ध्रुपद,धृपद,ध्रुपद
naksalwaad,नक्सलवाद,नकसावाद,नक्सलवाद
naksalwad,नक्सलवाद,नकसलवाद,नक्सलवाद
nagaadaa,नगाड़ा,नगदा,नगाड़ा
najraane,नजराने,नज़राने,नजराने
nazraane,नजराने,नज़राने,नजराने
najariyon,नजरियों,नज़रियों,नजरियों
najriyon,नजरियों,नज़रियों,नजरियों
najron,नजरों,नज्रों,नजरों
naram,नरम,नारम,नरम
nayak,नायक,नयक,नायक
nikalegi,निकलेगी,निकालेगी,निकलेगी
nikhari,निखरी,निखारी,निखरी
nigar,निगर,निगार,निगर
nityaa,नित्या,नित्य,नित्या
nidhan,निधान,निधन,निधान
nishpaap,निष्पाप,निषपाप,निष्पाप
neelagaay,नीलगाय,नीलागा,नीलगाय
neelaabh,नीलाभ,नीलभ,नीलाभ
nauvahan,नौवहन,नौवाहन,नौवहन
panchaang,पंचांग,पंचांगग,पंचांग
pakshpaat,पक्षपात,पक्षपत,पक्षपात
patki,पटकी,पटकीी,पटकी
padegaa,पड़ेगा,पदेगा,पड़ेगा
padhaataa,पढ़ाता,पढ़ता,पढ़ाता
padmavati,पदमावती,पद्मावती,पदमावती
panapnaa,पनपना,पनपाना,पनपना
panpana,पनपना,पानना,पनपना
pammi,पम्मी,पामी,पम्मी
pummy,पम्मी,पूम्य,पम्मी
parikalpit,परिकल्पित,परिकालिप्त,परिकल्पित
parosne,परोसने,परोसनन,परोसने
purple,पर्पल,पुरप्ले,पर्पल
palatne,पलटने,पलतने,पलटने
paltane,पलटने,पालताने,पलटने
pale,पले,पाले,पले
pulmonary,पल्मोनरी,पुल्मोर्ण,पल्मोनरी
paheliyon,पहेलियों,पहलियों,पहेलियों
pide,पाइड,पीड़,पाइड
pied,पाइड,पीड,पाइड
paarampariktaa,पारंपरिकता,पारपरिक्ता,पारंपरिकता
piki,पिकी,पीकी,पिकी
pitaamaha,पितामह,पितामाहा,पितामह
peaking,पीकिंग,पीकिंगग,पीकिंग
putliyan,पुतलियां,पुलतियां,पुतलियां
putaliyon,पुतलियों,पुतालियों,पुतलियों
putliyon,पुतलियों,पुल्लियों,पुतलियों
putin,पुतिन,प्टिन,पुतिन
puraane,पुराने,पूराने,पुराने
purane,पुराने,पूराने,पुराने
puru,पुरू,पुरु,पुरू
purjon,पुर्जों,पूर्जों,पुर्जों
purzon,पुर्जों,पूर्जों,पुर्जों
pulam,पुलम,पुलाम,पुलम
pushpa,पुष्पा,पुष्प,पुष्पा
poojaapaath,पूजापाठ,पूजानाथ,पूजापाठ
pujapath,पूजापाठ,पूजापथ,पूजापाठ
pendulam,पेंडुलम,पेंदुमाल,पेंडुलम
pendulum,पेंडुलम,पेंदुम,पेंडुलम
peg,पेग,पीग,पेग
packard,पैकर्ड,पैक्राड,पैकर्ड
polimer,पॉलिमर,पॉलीमर,पॉलिमर
polymer,पॉलिमर,पॉलीमर,पॉलिमर
polishing,पॉलिशिंग,पोलिशिंग,पॉलिशिंग
pratigya,प्रतिज्ञा,प्रतिज्ञ,प्रतिज्ञा
prtigyaa,प्रतिज्ञा,प्रतिज्ञ,प्रतिज्ञा
pratiyon,प्रतियों,प्रतियोंं,प्रतियों
prayasarat,प्रयासरत,प्रयास्त,प्रयासरत
pravatti,प्रवत्ति,प्रवत्ती,प्रवत्ति
prahlad,प्रह्लाद,प्रहलाद,प्रह्लाद
prathmiki,प्राथमिकी,प्रातमिकी,प्राथमिकी
programers,प्रोग्रामर्स,प्रोग्राम्स,प्रोग्रामर्स
programmers,प्रोग्रामर्स,प्रोग्राम्स,प्रोग्रामर्स
propellant,प्रोपेलेंट,प्रोपलेंट,प्रोपेलेंट
propellent,प्रोपेलेंट,प्रोपलेंट,प्रोपेलेंट
fandon,फंदों,फैंडों,फंदों
fagua,फगुआ,फागा,फगुआ
fatehgarh,फतेहगढ़,फतेगढ़,फतेहगढ़
falta,फलता,फालता,फलता
phalitartha,फलितार्थ,फलितार्था,फलितार्थ
fulae,फुलाए,फूलाए,फुलाए
fefada,फेफड़ा,फेफाड़ा,फेफड़ा
fefda,फेफड़ा,फेफडा,फेफड़ा
failaaiye,फैलाइए,फैलाये,फैलाइए
failaea,फैलाइए,फैलाए,फैलाइए
failaiye,फैलाइए,फैलाये,फैलाइए
phod,फोड़,फ़ड़,फोड़
foda,फोड़ा,फोडा,फोड़ा
fodaa,फोड़ा,फोडा,फोड़ा
phoda,फोड़ा,फोडा,फोड़ा
phode,फोड़े,फ़ोड़,फोड़े
frost,फ्रॉस्ट,फ्रोस्ट,फ्रॉस्ट
bantane,बंटने,बंटाने,बंटने
bandhati,बंधती,बंधाती,बंधती
bagichi,बगीची,बगीचीी,बगीची
bachti,बचती,बच्ची,बचती
bajaj,बजाज,बजज,बजाज
badhaataa,बढ़ाता,बढ़ता,बढ़ाता
batlaakar,बतलाकर,बतलाकार,बतलाकर
batlakar,बतलाकर,बतलाकार,बतलाकर
banam,बनाम,बन्म,बनाम
baraamad,बरामद,बारामद,बरामद
baramad,बरामद,बारमद,बरामद
baramade,बरामदे,बरमाड़े,बरामदे
baramde,बरामदे,बरमदे,बरामदे
baljeet,बलजीत,बालजीत,बलजीत
bahuchara,बहुचरा,बहुचारा,बहुचरा
bag,बाग,बग,बाग
bagiyon,बागियों,बगियों,बागियों
bajuon,बाजुओं,बजुओं,बाजुओं
badh,बाध,बाढ़,बाध
bapa,बापा,बपा,बापा
bapaa,बापा,बपा,बापा
baarahamaasee,बारहमासी,बारहमवासी,बारहमासी
baahulya,बाहुल्य,बहुल्य,बाहुल्य
bikherati,बिखेरती,बिखेती,बिखेरती
bikherti,बिखेरती,बिखरती,बिखेरती
bipin,बिपिन,बीपिन,बिपिन
billaa,बिल्ला,बिला,बिल्ला
bisva,बिस्वा,बिसवा,बिस्वा
bim,बीम,बिम,बीम
bimon,बीमों,बीमोन,बीमों
beerganj,बीरगंज,बीगंगज,बीरगंज
budwig,बुडविग,बुदविगग,बुडविग
bekaaboo,बेकाबू,बेकबू,बेकाबू
bechakar,बेचकर,बेचाकर,बेचकर
bewakoofaanaa,बेवकूफाना,बेवकूलना,बेवकूफाना
bosaan,बोसान,बोसन,बोसान
byavar,ब्यावर,बयावर,ब्यावर
brahmalin,ब्रह्मलीन,ब्रह्मालीन,ब्रह्मलीन
brahmleen,ब्रह्मलीन,ब्राह्मलीन,ब्रह्मलीन
brigatn,ब्रिगटन,बृगगतन,ब्रिगटन
brigton,ब्रिगटन,ब्रगगटनं,ब्रिगटन
brigadier,ब्रिगेडियर,ब्रिगादीर,ब्रिगेडियर
britain,ब्रिटेन,ब्रीटाइन,ब्रिटेन
bhay,भय,भाय,भय
bharte,भरते,भर्ते,भरते
bharani,भरनी,भरणी,भरनी
bharni,भरनी,भरणी,भरनी
bhara,भरा,भारा,भरा
bhabar,भाबर,भबार,भाबर
bhugata,भुगता,भूगता,भुगता
bhugta,भुगता,भूगता,भुगता
bhukh,भूख,भुक,भूख
bhukhi,भूखी,भुखी,भूखी
bhoopsingh,भूपसिंह,भूपींश,भूपसिंह
bhulata,भूलता,भुलता,भूलता
bhula,भूला,भुला,भूला
bhrant,भ्रांत,भ्रंत,भ्रांत
bhraanti,भ्रांति,भ्रांती,भ्रांति
bhranti,भ्रांति,भ्रंंती,भ्रांति
bhrantiyan,भ्रांतियां,भ्रंंतियां,भ्रांतियां
bhrantiyon,भ्रांतियों,भ्रंतियों,भ्रांतियों
mangesh,मंगेश,मागेश,मंगेश
mancheeye,मंचीय,मानचीय,मंचीय
manjil,मंजिल,मांजिल,मंजिल
manzil,मंजिल,मंजील,मंजिल
manjilen,मंजिलें,मांजीलें,मंजिलें
machae,मचाए,मचाई,मचाए
matsyendranath,मत्स्येंद्रनाथ,मत्स्यंद्रनथ,मत्स्येंद्रनाथ
manmarji,मनमर्जी,मनम्रजी,मनमर्जी
mayorka,मयोर्का,मयोक्ा,मयोर्का
marmar,मरमर,मरमार,मरमर
marji,मर्जी,मार्जी,मर्जी
malar,मलार,मालर,मलार
mahanideshak,महानिदेशक,महानिदेशकक,महानिदेशक
mhanideshak,महानिदेशक,महानिदेशकक,महानिदेशक
mahapauron,महापौरों,महापुरों,महापौरों
mhapauron,महापौरों,महापुरों,महापौरों
map,माप,मैप,माप
maariyo,मारियो,मारियों,मारियो
mave,मावे,मेव,मावे
mithilanchal,मिथिलांचल,मिथिलंचल,मिथिलांचल
mithya,मिथ्या,मीठ्य,मिथ्या
mimicry,मिमिक्री,माइमक्री,मिमिक्री
mungeri,मुंगेरी,मूंगरी,मुंगेरी
mundva,मुंडवा,मूंडवा,मुंडवा
mundwa,मुंडवा,मूंडवा,मुंडवा
mukarte,मुकरते,मुकारते,मुकरते
munaf,मुनाफ,मूनाफ,मुनाफ
munafa,मुनाफा,मूनाफा,मुनाफा
murjha,मुर्झा,मूर्झा,मुर्झा
multai,मुल्ताई,मूलताई,मुल्ताई
mushahid,मुशाहिद,मुष्हिद्ध,मुशाहिद
moody,मूडी,मूद्य,मूडी
melghat,मेलघाट,मेलघट,मेलघाट
mehram,मेहराम,मेहरम,मेहराम
matrix,मैट्रिक्स,माटरिक्स,मैट्रिक्स
maddy,मैडी,मद्दी,मैडी
mainan,मैनन,मैनान,मैनन
maisachusets,मैसाचुसेट्स,मैसाचूस्ट्स,मैसाचुसेट्स
motive,मोटिव,मोटीव,मोटिव
mol,मोल,मॉल,मोल
mauley,मौले,मॉले,मौले
yda,यदा,याडा,यदा
yaduvansh,यदुवंश,यदुवंशष,यदुवंश
yarushalem,यरूशलेम,यरुशेलम,यरूशलेम
yuddhrat,युद्धरत,युद्धत्त,युद्धरत
ukrainian,यूक्रेनियन,युक्रेनियन,यूक्रेनियन
yorker,यॉर्कर,योर्कर,यॉर्कर
ranjkta,रंजकता,रंंजकता,रंजकता
raktaabh,रक्ताभ,रक्तभ,रक्ताभ
ratanpur,रतनपुर,रतनापुर,रतनपुर
rawail,रवैल,रवैयल,रवैल
rajtantra,राजतंत्र,राततंत्र,राजतंत्र
rajnitikaran,राजनीतीकरण,राजनीतिकरण,राजनीतीकरण
raadhe,राधे,राढ़े,राधे
rabha,राभा,रभा,राभा
ramkote,रामकोट,रामकोटे,रामकोट
rambharosey,रामभरोसे,रामभोर्य,रामभरोसे
recreation,रिक्रिएशन,रिक्रेशन,रिक्रिएशन
rig,रिग,राइग,रिग
reduction,रिडक्शन,रेड्क्शन,रिडक्शन
rita,रीता,रिता,रीता
rukte,रुकते,रुक्ते,रुकते
ruktey,रुकते,रुक्ते,रुकते
rugna,रुग्ण,रूग्न,रुग्ण
rugnata,रुग्णता,ऋग्नता,रुग्णता
rumani,रुमानी,रूमानी,रुमानी
root,रूट,रुट,रूट
rooting,रूटिंग,रूटिंगग,रूटिंग
rental,रेंटल,रेंतल,रेंटल
refeli,रेफेली,रेफली,रेफेली
reshe,रेशे,रेश,रेशे
reshey,रेशे,रेशीय,रेशे
rese,रेस,रेज,रेस
recer,रेसर,रिसर,रेसर
racketier,रैकेटियर,राकेटियर,रैकेटियर
robinson,रॉबिंसन,रॉबिंों,रॉबिंसन
rozlyn,रोजलिन,रोजलियन,रोजलिन
raubadaar,रौबदार,रूबदार,रौबदार
raubadar,रौबदार,रूबदार,रौबदार
raubdar,रौबदार,राबदार,रौबदार
lux,लक्स,लुक्स,लक्स
labdh,लब्ध,लाब्ध,लब्ध
lalla,लल्ला,लाला,लल्ला
lavasa,लवासा,लावसा,लवासा
lahrai,लहराई,लहरायी,लहराई
lahlahaati,लहलहाती,लहलाहती,लहलहाती
lingbhed,लिंगभेद,लिंग्वेद,लिंगभेद
luis,लुईस,लाइस,लुईस
lega,लेगा,लगा,लेगा
legaa,लेगा,लगा,लेगा
lebalon,लेबलों,लेबालों,लेबलों
lairi,लैरी,लैयरी,लैरी
vanshavad,वंशवाद,वंशावद,वंशवाद
vanita,वनिता,वनीता,वनिता
varenya,वरेण्य,वारेनिया,वरेण्य
varsaache,वर्साचे,वर्सचे,वर्साचे
vatar,वाटर,वातर,वाटर
vaadiyon,वादियों,वाडियों,वादियों
wadiyon,वादियों,वादियोंं,वादियों
wireless,वायरलेस,वायरेस्स,वायरलेस
warriors,वारियर्स,वॉरियर्स,वारियर्स
vincent,विंसेंट,विंसेट,विंसेंट
vitark,वितर्क,वितरक,वितर्क
vidhansabhaein,विधानसभाएं,विधानसाभाएं,विधानसभाएं
vidhansabhaen,विधानसभाएं,विधानसाभां,विधानसभाएं
vidhivat,विधिवत,विधीवत,विधिवत
vidhut,विधुत,विद्युत,विधुत
vimarsh,विमर्श,विमार्श,विमर्श
vimarsho,विमर्शों,विमार्शो,विमर्शों
virajati,विराजती,विराजतिी,विराजती
virodhabhasi,विरोधाभासी,विरोधभासी,विरोधाभासी
vishwasaniyata,विश्वसनीयता,विश्वासनियता,विश्वसनीयता
vishnu,विष्णु,विश्णु,विष्णु
venezuela,वेनेजुएला,वेनेजुला,वेनेजुएला
velvet,वेलवेट,वेवेट,वेलवेट
welding,वेल्डिंग,वेलिंग,वेल्डिंग
vaigyanik,वैज्ञानिक,वैज्ञनिक,वैज्ञानिक
vaigyanikta,वैज्ञानिकता,वैज्ञनिकता,वैज्ञानिकता
vaishakh,वैशाख,वैशक्ध,वैशाख
vaishakhi,वैशाखी,वैशक्खी,वैशाखी
vyabhichar,व्यभिचार,व्याभिचार,व्यभिचार
wlaad,व्लाद,वलाद,व्लाद
shanghai,शंघाई,शांघई,शंघाई
shabdarth,शब्दार्थ,शब्दर्थ,शब्दार्थ
shrikar,श्रीकर,श्रीकार,श्रीकर
sanghanit,संघनित,संघानित,संघनित
sanchar,संचार,संचर,संचार
sanjay,संजय,संजाय,संजय
sandli,संदली,सांडली,संदली
samprati,संप्रति,संप्रती,संप्रति
sanskaar,संस्कार,संसककार,संस्कार
sanskurt,संस्कृत,संसकृत,संस्कृत
sanasthit,संस्थित,सनस्थित,संस्थित
sanasthita,संस्थिता,सनस्थिता,संस्थिता
sakara,सकरा,सकारा,सकरा
sat,सत,सात,सत
sate,सते,साते,सते
sadanand,सदानंद,सदनंद,सदानंद
sapane,सपने,सापने,सपने
saparivaar,सपरिवार,सपरविरार,सपरिवार
sapariwar,सपरिवार,सपरीवार,सपरिवार
saptakranti,सप्तक्रांति,सप्तकर्तिी,सप्तक्रांति
sapramaan,सप्रमाण,सप्रमान,सप्रमाण
samjhoonga,समझूंगा,समझुंगा,समझूंगा
samjhunga,समझूंगा,समझुंगा,समझूंगा
samnvyak,समन्वयक,साम्वयक्वक,समन्वयक
samahar,समाहार,समाहर,समाहार
sametati,समेटती,समेटी,समेटती
sargana,सरगना,सरगाना,सरगना
salahkaar,सलाहकार,सलाकार,सलाहकार
salib,सलीब,सालिब,सलीब
sawaal,सवाल,सावल,सवाल
sawal,सवाल,सावल,सवाल
sahuliyat,सहूलियत,सहलुियत,सहूलियत
sinha,सिंहा,सिन्हा,सिंहा
sipah,सिपाह,सिपह,सिपाह
sipahiyon,सिपाहियों,सिपहियों,सिपाहियों
sipahi,सिपाही,सिपही,सिपाही
sim,सिम,सीम,सिम
simatataa,सिमटता,सीमतता,सिमटता
simtata,सिमटता,सीमता,सिमटता
siwan,सिवान,सिवन,सिवान
cpm,सीपीएम,सीपीएमी,सीपीएम
cps,सीपीएस,सीपीसी,सीपीएस
sealed,सील्ड,सीलेड,सील्ड
sugmta,सुगमता,सुग्मता,सुगमता
sudip,सुदीप,सूदिप,सुदीप
sudhargruh,सुधारगृह,सुधारगढ़,सुधारगृह
sulkhan,सुलखान,सुल्खन,सुलखान
sulati,सुलाती,सुलती,सुलाती
susanskrut,सुसंस्कृत,सुसंसंकृत,सुसंस्कृत
salary,सैलरी,सालार्य,सैलरी
